,customer_id,gender,age,email,phone_number,address,city,state,zip_code,residence_type,transaction_id,transaction_date,product_category,product_name,quantity,unit_price,discount,cost,revenue,payment_method,card_type,shipping_address,shipping_method,delivery_status,customer_satisfaction,returned_item,store_location,promo_code_used,profit
0,2438,U,,david547@hotmail.com,294-680-4916,4565 Maple Ln,San Antonio,GA,51693,With Parents,TXN001438,2026-01-22,Unknown,Product_19,1,388.93,,39.69,680.6,DC,master,6539 Cedar Blvd,EXP,Cancelled,,Yes,Online,,640.9100000000001
1,3701,F,40+,david765@gmail.com,662-287-8835,3177 Maple Ln,Chicago,NC,77641,Other,TXN002701,2025-07-28,Toys,Product_29,10,164.02,0.18,61.36,42.1,PayPal,Visa,6998 Main St,standard,PENDING,2,Y,store a,,-19.259999999999998
2,4648,FEMALE,thirty,lisa429@outlook.com,123-456-7890,8137 Pine Rd,Chicago,MI,96676,Lease,TXN003648,2025-11-12,Cloth,Product_79,1,470.83,0.23,192.39,548.52,paypal,master,3253 Maple Ln,Overnight,Shipped,0,False,Online,,356.13
3,3513,,thirty,john245@hotmail.com,528-122-3246,710 Maple Ln,Houston,NC,20857,Own,TXN002513,2026-02-15,Toys,Product_48,-1,432.8,0.35,46.61,176.03,Cash,Mastercard,9592 Oak Ave,Standard,Returned,good,N,,,
4,3903,FEMALE,87,emma851@yahoo.com,211-795-3959,5629 Pine Rd,San Antonio,NC,19885,Other,TXN002903,2026-03-29,,Product_60,3,373.06,,61.47,589.42,CC,Amex,9380 Oak Ave,standard,Delivered,,no,Website,EXPIRED,527.9499999999999
5,1009,Unknown,40+,sarah833@yahoo.com,986-579-1614,2061 Maple Ln,Houston,GA,19627,Rent,TXN000009,2026-05-18,Unknown,Product_27,three,428.02,0.19,235.21,648.11,Cash,Mastercard,1088 Oak Ave,Pickup,delivered,good,no,Store B,,412.9
6,1158,M,,sarah929@yahoo.com,607-199-7796,Unknown,New York,OH,81753,Own,TXN000158,2025-02-10,Electronics,Product_38,0,337.45,0.13,303.91,311.73,DC,master,2387 Main St,Standard,Returned,2,yes,Website,,7.819999999999993
7,1024,Unknown,,invalid_email,157-580-2982,7690 Main St,Los Angeles,IL,63070,With Parents,TXN000024,2026-03-03,Sports,Product_31,-1,348.88,0.26,150.17,476.86,Debit Card,Amex,4361 Main St,Standard,Pending,3,Y,Store B,,326.69000000000005
8,5930,F,,lisa761@hotmail.com,298-488-1845,4496 Pine Rd,Phoenix,PA,00000,With Parents,TXN004930,2025-01-03,Clothing,Product_57,0,315.92,0.18,231.52,revenue_missing,paypal,VISA,5208 Cedar Blvd,Pickup,Shipped,10,No,Store A,,
9,2892,Male,,david70@yahoo.com,985-540-1888,828 Main St,San Antonio,NY,58885,rent,TXN001892,2024-11-14,Unknown,Product_37,4,438.88,0.38,193.45,509.72,CC,Discover,7705 Pine Rd,Standard,PENDING,10,True,Store A,,316.27000000000004
10,1228,Female,58,alex859@outlook.com,143-676-5344,5332 Main St,San Diego,PA,94122,,TXN000228,2026-06-02,Home,Product_77,10,206.8,0.17,304.14,240.77,paypal,Amex,5920 Pine Rd,EXP,Returned,1,Y,,,-63.369999999999976
11,5542,MALE,40+,mike183@yahoo.com,751-766-8976,5243 Oak Ave,Los Angeles,TX,66702,,TXN004542,2025-08-09,Toys,Product_49,10,46.2,0.14,-10.0,145.36,Credit Card,Mastercard,2960 Maple Ln,Standard,Delivered,bad,,Store B,,155.36
12,1080,Unknown,40+,david146@hotmail.com,889-632-4782,6355 Maple Ln,San Diego,OH,00000,,TXN000080,2024-12-24,Electronics,Product_97,one,268.14,0.32,376.48,642.68,Bank Transfer,master,7 Main St,Standard,Delivered,2,Y,,WELCOME20,266.19999999999993
13,3532,Male,thirty,mike151@gmail.com,316-123-5676,7170 Cedar Blvd,Philadelphia,TX,89429,With Parents,TXN002532,2025-04-02,Books,Product_90,,494.92,0.35,79.82,303.95,,Amex,4854 Oak Ave,Overnight,Shipped,2,Y,Store A,InvalidCode,224.13
14,3216,Unknown,,john117@yahoo.com,262-617-3468,1922 Pine Rd,New Yrok,FL,64780,Own,TXN002216,2025-11-20,Unknown,Product_66,,258.72,0.14,253.2,71.17,paypal,Amex,Same as billing,Express,delivered,good,True,store a,,-182.02999999999997
15,4780,m,40+,alex244@hotmail.com,523-446-3296,7413 Oak Ave,San Diego,CA,49650,rent,TXN003780,2025-12-16,Beauty,Product_86,3,224.66,,252.43,216.79,Debit Card,Visa,3446 Cedar Blvd,Pickup,delivered,,no,Mobile App,,-35.640000000000015
16,5902,Female,105,emma79@hotmail.com,560-468-6852,4102 Main St,Chicago,NY,00000,Other,TXN004902,2026-05-07,Toys,Product_25,2,253.62,,178.13,346.3,paypal,Mastercard,2771 Oak Ave,Pickup,delivered,2,True,Store B,FREESHIP,168.17000000000002
17,2537,m,thirty,jane229@hotmail.com,123-456-7890,3575 Cedar Blvd,Phoenix,MI,95050,With Parents,TXN001537,2025-11-06,Home,Product_85,one,196.44,0.06,180.84,767.34,paypal,Amex,2073 Maple Ln,Express,delivered,2,,Store B,,586.5
18,5641,,40+,mike592@outlook.com,147-160-9065,1320 Pine Rd,San Diego,MI,33005,OWN,TXN004641,2025-04-04,Toys,Product_64,-1,201.96,0.19,270.57,603.64,Cash,Discover,7359 Pine Rd,Express,Returned,0,,Store A,,333.07
19,3814,f,18-25,david837@yahoo.com,559-629-3594,8711 Maple Ln,Chicago,NY,21380,OWN,TXN002814,2025-01-05,Electrnics,Product_1,three,493.19,0.17,100.85,587.72,Bank Transfer,Mastercard,Same as billing,Standard,,1,Y,store a,,486.87
20,3922,,18-25,alex253@gmail.com,207-478-4036,2835 Oak Ave,San Antonio,NY,46034,With Parents,TXN002922,2024-07-05,Books,Product_24,2,433.76,0.12,100.51,605.87,PayPal,master,404 Maple Ln,standard,Pending,bad,True,store a,InvalidCode,505.36
21,1682,FEMALE,40+,jane879@hotmail.com,592-384-3439,3469 Pine Rd,New Yrok,NC,14461,Lease,TXN000682,2025-12-15,Beauty,Product_83,1,345.15,0.18,82.88,382.75,Credit Card,Mastercard,7648 Oak Ave,standard,Shipped,1,N,Mobile App,,299.87
22,4320,MALE,25,jane416@outlook.com,938-888-2663,9867 Cedar Blvd,San Antonio,FL,46068,With Parents,TXN003320,2024-08-17,Unknown,Product_96,0,379.68,0.01,310.59,72.66,Cash,VISA,4133 Main St,Standard,Shipped,bad,Yes,Store A,,-237.92999999999998
23,1486,M,18-25,mike237@outlook.com,365-938-5343,Unknown,San Antonio,IL,33887,Own,TXN000486,2025-11-13,,Product_73,,456.12,,-10.0,62.01,CASH,Visa,92 Maple Ln,standard,Pending,4,no,store a,,72.00999999999999
24,4662,,25,jane308@gmail.com,498-143-3624,5052 Main St,Chicago,CA,58938,rent,TXN003662,05/04/2025,Home,Product_37,0,238.09,0.34,332.72,690.42,PayPal,Mastercard,5875 Oak Ave,Express,Shipped,0,Y,Online,,357.69999999999993
25,5422,Male,40+,jane426@gmail.com,123-456-7890,7086 Oak Ave,Phoenix,NC,96247,,TXN004422,2025-12-12,Cloth,Product_100,three,182.98,0.31,98.72,338.13,CASH,Mastercard,6715 Cedar Blvd,,,10,No,Store A,,239.41
26,9964,MALE,,lisa186@outlook.com,463-116-2894,1928 Oak Ave,Houston,NY,66993,With Parents,TXN003964,2026-04-08,,Product_86,,219.95,0.22,63.8,665.27,CASH,Visa,9711 Oak Ave,standard,Returned,5,Yes,Store A,,601.47
